VertexCount,GroupNumber,Colors,Time
10,1,5.900,1.910
10,2,4.940,1.640
10,3,4.030,0.330
10,4,3.060,0.120
20,1,9.210,1.530
20,2,7.750,0.680
20,3,5.950,0.310
20,4,4.230,0.130
30,1,12.220,1.400
30,2,10.070,2.100
30,3,8.040,1.080
30,4,5.270,0.530
40,1,14.980,3.860
40,2,12.320,1.460
40,3,9.570,0.930
40,4,6.210,0.440
50,1,17.890,3.770
50,2,14.610,3.730
50,3,11.140,1.730
50,4,7.250,0.530
60,1,20.410,4.800
60,2,16.720,3.590
60,3,12.620,2.380
60,4,8.140,0.830
70,1,23.250,8.280
70,2,18.850,5.870
70,3,14.280,3.750
70,4,8.970,1.300
80,1,25.900,13.480
80,2,20.960,9.630
80,3,15.760,5.450
80,4,9.880,2.020
90,1,28.720,17.510
90,2,22.710,12.880
90,3,16.990,8.480
90,4,10.650,2.920
100,1,30.870,26.950
100,2,24.630,19.870
100,3,18.260,11.800
100,4,11.610,4.110
110,1,33.230,35.110
110,2,26.890,29.410
110,3,20.010,15.880
110,4,12.300,5.280
120,1,35.830,49.220
120,2,28.330,39.040
120,3,21.730,20.620
120,4,13.260,7.700
130,1,38.040,64.760
130,2,30.880,44.800
130,3,22.970,25.730
130,4,13.940,8.770
140,1,40.610,76.140
140,2,32.520,56.080
140,3,23.970,32.180
140,4,14.790,11.310
150,1,43.190,91.720
150,2,34.450,74.250
150,3,25.500,41.030
150,4,15.360,16.330
160,1,46.000,127.500
160,2,35.840,87.650
160,3,26.770,50.280
160,4,16.200,17.700
170,1,47.860,142.350
170,2,37.990,100.900
170,3,27.800,60.820
170,4,17.030,21.300
180,1,49.980,174.460
180,2,39.850,125.150
180,3,29.700,73.620
180,4,17.570,28.730
190,1,51.730,201.890
190,2,41.810,141.540
190,3,30.120,78.630
190,4,18.540,27.440
200,1,53.730,243.120
200,2,43.590,217.240
200,3,31.620,170.270
200,4,19.080,36.150
210,1,56.660,301.960
210,2,45.210,209.660
210,3,33.260,114.730
210,4,19.950,39.980
220,1,59.190,305.900
220,2,46.760,219.110
220,3,34.440,142.010
220,4,20.080,38.070
230,1,61.350,342.230
230,2,48.540,257.460
230,3,35.360,140.980
230,4,20.920,47.100
240,1,63.370,399.860
240,2,49.480,288.960
240,3,36.400,165.190
240,4,21.780,56.840
250,1,65.360,456.080
250,2,51.980,354.180
250,3,37.600,196.670
250,4,22.420,61.460
260,1,67.750,516.540
260,2,53.710,370.060
260,3,39.050,213.990
260,4,23.270,85.960
270,1,69.040,618.950
270,2,55.430,423.140
270,3,40.530,413.270
270,4,23.730,131.070
280,1,71.550,48765.400
280,2,56.150,545.380
280,3,41.930,324.540
280,4,24.450,116.220
290,1,73.780,796.410
290,2,58.430,584.160
290,3,43.230,356.320
290,4,25.230,131.880
300,1,75.930,897.130
300,2,60.180,626.720
300,3,44.020,376.210
300,4,25.610,117.100
310,1,78.310,985.590
310,2,62.190,725.110
310,3,45.720,417.950
310,4,26.780,137.810
320,1,80.320,1085.280
320,2,63.530,837.040
320,3,47.460,483.810
320,4,27.350,149.780
330,1,83.000,1212.450
330,2,65.570,879.540
330,3,48.170,518.430
330,4,28.020,194.630
340,1,84.760,1585.060
340,2,66.630,1067.930
340,3,48.380,600.210
340,4,28.180,192.590
350,1,87.170,1517.260
350,2,68.560,1265.420
350,3,49.050,609.220
350,4,28.650,292.390
